sfo,San Francisco 49ers,1946-2022,1,,,,,
chi,Chicago Bears,1922-2022,1,,,,,
cin,Cincinnati Bengals,1968-2022,1,,,,,
buf,Buffalo Bills,1960-2022,1,,,,,
den,Denver Broncos,1960-2022,1,,,,,
cle,Cleveland Browns,1946-2022,1,,,,,
tam,Tampa Bay Buccaneers,1976-2022,1,,,,,
crd,Arizona Cardinals,1994-2022,1,,,,,
sdg,Los Angeles Chargers,1960-2022,1,,,,,
kan,Kansas City Chiefs,1963-2022,1,,,,,
clt,Indianapolis Colts,1984-2022,1,,,,,
was,Washington Commanders,2022,1,,,,,
dal,Dallas Cowboys,1960-2022,1,,,,,
mia,Miami Dolphins,1966-2022,1,,,,,
phi,Philadelphia Eagles,1933-2022,1,,,,,
atl,Atlanta Falcons,1966-2022,1,,,,,
nyg,New York Giants,1925-2022,1,,,,,
jax,Jacksonville Jaguars,1995-2022,1,,,,,
nyj,New York Jets,1963-2022,1,,,,,
det,Detroit Lions,1934-2022,1,,,,,
gnb,Green Bay Packers,1921-2022,1,,,,,
car,Carolina Panthers,1995-2022,1,,,,,
nwe,New England Patriots,1971-2022,1,,,,,
rai,Las Vegas Raiders,2020-2022,1,,,,,
ram,Los Angeles Rams,1946-2022,1,,,,,
rav,Baltimore Ravens,1996-2022,1,,,,,
nor,New Orleans Saints,1967-2022,1,,,,,
sea,Seattle Seahawks,1976-2022,1,,,,,
pit,Pittsburgh Steelers,1940-2022,1,,,,,
htx,Houston Texans,2002-2022,1,,,,,
oti,Tennessee Titans,1999-2022,1,,,,,
min,Minnesota Vikings,1961-2022,1,,,,,
abu,All Buffalo ,1920,0,,,,,
atn,All Tonawanda ,1920,0,,,,,
ftp,Fort Porter ,1920,0,,,,,
lan,Lansing Oldsmobile ,1920,0,,,,,
log,Logan Square ,1920,0,,,,,
rck,Rockford A.C. ,1920,0,,,,,
uap,Union A.A. ,1920,0,,,,,
uti,Utica K. of C. ,1920,0,,,,,
wbu,West Buffalo ,1920,0,,,,,
wgc,Washington Glee Club ,1920,0,,,,,
zan,Zanesville Mark Gray ,1920,0,,,,,
bff,Buffalo All-Americans,1920-1923,0,,,,,
sla,St. Louis All-Stars,1923,0,,,,,
ely,Elyria Athletics,1920,0,,,,,
ric,Richmond Athletics,1920,0,,,,,
mil,Milwaukee Badgers,1922-1926,0,,,,,
bba,Buffalo Bills,1947-1949,0,,,,,
bba,Buffalo Bisons,1946,0,,,,,
bff,Buffalo Bisons,1924-1929,0,,,,,
hrt,Hartford Blues,1926,0,,,,,
